,name,address,city,category,rating,url
0,Rambling House,4292 Katonah Ave,Bronx,Pubs,4.0,http://www.yelp.com/biz/rambling-house-bronx
1,Curry Spot,4268 Katonah Ave,Bronx,Indian,4.0,http://www.yelp.com/biz/curry-spot-bronx
2,Eileens Country Kitchen,964 McLean Ave,Yonkers,American (Traditional),3.5,http://www.yelp.com/biz/eileens-country-kitchen-yonkers
3,Ali's Roti Shop,4220 White Plains Rd,Bronx,Trinidadian,4.0,http://www.yelp.com/biz/alis-roti-shop-bronx
4,HIM Ital Health Food Market,4374b White Plains Rd,Bronx,Health Markets,4.5,http://www.yelp.com/biz/him-ital-health-food-market-bronx-2
5,Patrizia's of Woodlawn,4358 Katonah Ave,Bronx,Italian,3.5,http://www.yelp.com/biz/patrizias-of-woodlawn-bronx
6,Avitable Bros,1016 McLean Ave,Yonkers,Delis,4.5,http://www.yelp.com/biz/avitable-bros-yonkers
7,Katonah Pizza & Pasta,4307 Katonah Ave,Bronx,Pizza,3.5,http://www.yelp.com/biz/katonah-pizza-and-pasta-bronx
8,Vegans Delight,3565 Boston Rd,New York,Vegan,4.0,http://www.yelp.com/biz/vegans-delight-new-york
9,Sal's Pizzeria & Restaurant,1160 Yonkers Ave,Yonkers,Pizza,3.0,http://www.yelp.com/biz/sals-pizzeria-and-restaurant-yonkers
10,La Grotta Trattoria,811 McLean Ave,Yonkers,Italian,4.5,http://www.yelp.com/biz/la-grotta-trattoria-yonkers
11,Angelo Pizzeria,986 McLean Ave,Yonkers,Pizza,3.5,http://www.yelp.com/biz/angelo-pizzeria-yonkers
12,Cooyah Restaurant,3563 Boston Rd,New York,Ethnic Food,4.5,http://www.yelp.com/biz/cooyah-restaurant-new-york
13,China Top,3563 Boston Road,Bronx,Chinese,3.5,http://www.yelp.com/biz/china-top-bronx
14,Heritage Bar & Restaurant,960 McLean Ave,Yonkers,Bars,4.0,http://www.yelp.com/biz/heritage-bar-and-restaurant-yonkers
15,Wendy's,3636 Boston Rd,Bronx,Fast Food,3.5,http://www.yelp.com/biz/wendys-bronx
16,Valentino's,132 Bronx River Rd,Yonkers,Italian,4.0,http://www.yelp.com/biz/valentinos-yonkers
17,Mt Vernon Deli King,238 W Lincoln Ave,Mount Vernon,Delis,4.5,http://www.yelp.com/biz/mt-vernon-deli-king-mount-vernon
18,Burger King,3500 Boston Rd,Bronx,Burgers,3.0,http://www.yelp.com/biz/burger-king-bronx-12
19,Rory Dolan's Restaurant & Bar,890 McLean Ave,Yonkers,Irish,3.5,http://www.yelp.com/biz/rory-dolans-restaurant-and-bar-yonkers
20,Dallas BBQ,2160 Bartow Ave,Bronx,Barbeque,2.5,http://www.yelp.com/biz/dallas-bbq-bronx-2
21,Panera Bread,340 Baychester Ave,Bronx,Sandwiches,3.5,http://www.yelp.com/biz/panera-bread-bronx
22,Good To Go,1894 Eastchester Rd,Bronx,American (Traditional),3.5,http://www.yelp.com/biz/good-to-go-bronx
23,Smashburger,847 Pelham Pkwy,Pelham Manor,Burgers,3.5,http://www.yelp.com/biz/smashburger-pelham-manor
24,Caridad and Louie's Restaurant,1660 E Gun Hill Rd,Bronx,Italian,3.5,http://www.yelp.com/biz/caridad-and-louies-restaurant-bronx
25,Yumi,802 Pelham Pkwy,Pelham Manor,Japanese,3.5,http://www.yelp.com/biz/yumi-pelham-manor
26,Sorrento Pizzeria,2004 Williamsbridge Rd,Bronx,Pizza,4.5,http://www.yelp.com/biz/sorrento-pizzeria-bronx
27,Honey's Thai Pavilion,3036 Westchester Ave,Bronx,Thai,3.5,http://www.yelp.com/biz/honeys-thai-pavilion-bronx
28,Mexico Magico,1761 Crosby Ave,Bronx,Mexican,4.0,http://www.yelp.com/biz/mexico-magico-bronx
29,TGI Fridays,51780 E Gun Hill Rd,Bronx,American (Traditional),2.5,http://www.yelp.com/biz/tgi-fridays-bronx
30,Emilio's Pizza,1051 Morris Park Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/emilios-pizza-bronx-2
31,Dragon City,2102 Bartow Ave,Bronx,Chinese,3.0,http://www.yelp.com/biz/dragon-city-bronx
32,Pelham Bay Diner,1920 E Gun Hill Rd,Bronx,Diners,2.5,http://www.yelp.com/biz/pelham-bay-diner-bronx
33,Vegans Delight,3565 Boston Rd,New York,Vegan,4.0,http://www.yelp.com/biz/vegans-delight-new-york
34,Venezia Pizzeria,1115 Astor Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/venezia-pizzeria-bronx
35,Applebees,2276 Bartow Ave,Bronx,Bars,2.0,http://www.yelp.com/biz/applebees-bronx-4
36,Red Lobster,2090 Bartow Avenue,Bronx,Seafood,2.5,http://www.yelp.com/biz/red-lobster-bronx
37,Golden Krust Caribbean Bakery,691 Co Op City Blvd,Bronx,Caribbean,3.0,http://www.yelp.com/biz/golden-krust-caribbean-bakery-bronx-4
38,Richie Rich Carribean,3357 Fish Ave,Bronx,Ethnic Food,3.5,http://www.yelp.com/biz/richie-rich-carribean-bronx
39,Seashore Restaurant & Marina,591 City Island Ave,Bronx,Seafood,3.0,http://www.yelp.com/biz/seashore-restaurant-and-marina-bronx
40,Smashburger,847 Pelham Pkwy,Pelham Manor,Burgers,3.5,http://www.yelp.com/biz/smashburger-pelham-manor
41,Yumi,802 Pelham Pkwy,Pelham Manor,Japanese,3.5,http://www.yelp.com/biz/yumi-pelham-manor
42,Dallas BBQ,2160 Bartow Ave,Bronx,Barbeque,2.5,http://www.yelp.com/biz/dallas-bbq-bronx-2
43,Vegans Delight,3565 Boston Rd,New York,Vegan,4.0,http://www.yelp.com/biz/vegans-delight-new-york
44,Golden Krust Caribbean Bakery,691 Co Op City Blvd,Bronx,Caribbean,3.0,http://www.yelp.com/biz/golden-krust-caribbean-bakery-bronx-4
45,Panera Bread,340 Baychester Ave,Bronx,Sandwiches,3.5,http://www.yelp.com/biz/panera-bread-bronx
46,The Dumplin Shop,1530 E 222st,Bronx,Cafes,5.0,http://www.yelp.com/biz/the-dumplin-shop-bronx-2
47,TGI Fridays,51780 E Gun Hill Rd,Bronx,American (Traditional),2.5,http://www.yelp.com/biz/tgi-fridays-bronx
48,Richie Rich Carribean,3357 Fish Ave,Bronx,Ethnic Food,3.5,http://www.yelp.com/biz/richie-rich-carribean-bronx
49,Dragon City,2102 Bartow Ave,Bronx,Chinese,3.0,http://www.yelp.com/biz/dragon-city-bronx
50,Red Lobster,2090 Bartow Avenue,Bronx,Seafood,2.5,http://www.yelp.com/biz/red-lobster-bronx
51,Wendy's,4330 Boston Rd,Bronx,Fast Food,2.0,http://www.yelp.com/biz/wendys-bronx-2
52,Cooyah Restaurant,3563 Boston Rd,New York,Ethnic Food,4.5,http://www.yelp.com/biz/cooyah-restaurant-new-york
53,China Top,3563 Boston Road,Bronx,Chinese,3.5,http://www.yelp.com/biz/china-top-bronx
54,Wendy's,3636 Boston Rd,Bronx,Fast Food,3.5,http://www.yelp.com/biz/wendys-bronx
55,Ali's Roti Shop,4220 White Plains Rd,Bronx,Trinidadian,4.0,http://www.yelp.com/biz/alis-roti-shop-bronx
56,Applebees,2276 Bartow Ave,Bronx,Bars,2.0,http://www.yelp.com/biz/applebees-bronx-4
57,Cozy Cottage,4105 Boston Rd,Bronx,Breakfast & Brunch,4.5,http://www.yelp.com/biz/cozy-cottage-bronx
58,Burger King,3500 Boston Rd,Bronx,Burgers,3.0,http://www.yelp.com/biz/burger-king-bronx-12
59,Nick's Pizza Restaurant,1356 E Gun Hill Rd,Bronx,Pizza,3.0,http://www.yelp.com/biz/nicks-pizza-restaurant-bronx
60,Greek Express,3733 Riverdale Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/greek-express-bronx
61,Madisons Restaurant & Bar,5686 Riverdale Ave,Bronx,Bars,3.5,http://www.yelp.com/biz/madisons-restaurant-and-bar-bronx
62,Broadway Joe's Pizza,5983 Broadway,Bronx,Pizza,4.5,http://www.yelp.com/biz/broadway-joes-pizza-bronx
63,Nona's Pizza,6100 Riverdale Ave,Bronx,Italian,4.0,http://www.yelp.com/biz/nonas-pizza-bronx
64,Liebman's Kosher Delicatessen,552 W 235th St,Bronx,Delis,4.0,http://www.yelp.com/biz/liebmans-kosher-delicatessen-bronx
65,Barbecue Pit,5788 Mosholu Ave,Bronx,Barbeque,3.5,http://www.yelp.com/biz/barbecue-pit-bronx
66,Gleeson's Sports Bar & Grill,6115 Broadway,Bronx,Sports Bars,4.0,http://www.yelp.com/biz/gleesons-sports-bar-and-grill-bronx
67,Yo-Burger,3726 Riverdale Ave,Bronx,Burgers,4.0,http://www.yelp.com/biz/yo-burger-bronx
68,Santa Fe Grill,6025 Broadway,Bronx,Mexican,3.5,http://www.yelp.com/biz/santa-fe-grill-bronx
69,Genericos's Pizzeria and Cafe',3535 Riverdale Ave,Bronx,Cafes,3.5,http://www.yelp.com/biz/genericoss-pizzeria-and-cafe-bronx
70,The Bronx Burger House,5816 Mosholou Ave,Bronx,Burgers,4.0,http://www.yelp.com/biz/the-bronx-burger-house-bronx
71,Hola Espana,5586 Broadway,New York,Spanish,4.0,http://www.yelp.com/biz/hola-espana-new-york
72,Cafe Blue,3509 Johnson Ave,Bronx,Diners,3.5,http://www.yelp.com/biz/cafe-blue-bronx
73,Dino's Pizza,5660 Mosholu Ave,Bronx,Pizza,4.5,http://www.yelp.com/biz/dinos-pizza-bronx
74,Cumin Indian Restaurant,3549 Johnson Ave,Bronx,Indian,3.5,http://www.yelp.com/biz/cumin-indian-restaurant-bronx-2
75,Metate,3515 Johnson Ave,Bronx,Mexican,3.0,http://www.yelp.com/biz/metate-bronx
76,Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,Delis,4.5,http://www.yelp.com/biz/loesers-old-fashioned-kosher-deli-bronx
77,New Nagoya Sushi,5786 Mosholu Ave,Bronx,Japanese,3.0,http://www.yelp.com/biz/new-nagoya-sushi-bronx
78,Addeo's Riverdale Pizzeria,5654 Riverdale Ave,Bronx,Pizza,3.5,http://www.yelp.com/biz/addeos-riverdale-pizzeria-bronx
79,Christos Gyro,3625 Kingsbridge Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/christos-gyro-bronx
80,Greek Express,3733 Riverdale Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/greek-express-bronx
81,Hola Espana,5586 Broadway,New York,Spanish,4.0,http://www.yelp.com/biz/hola-espana-new-york
82,Liebman's Kosher Delicatessen,552 W 235th St,Bronx,Delis,4.0,http://www.yelp.com/biz/liebmans-kosher-delicatessen-bronx
83,Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,Delis,4.5,http://www.yelp.com/biz/loesers-old-fashioned-kosher-deli-bronx
84,Yo-Burger,3726 Riverdale Ave,Bronx,Burgers,4.0,http://www.yelp.com/biz/yo-burger-bronx
85,Broadway Joe's Pizza,5983 Broadway,Bronx,Pizza,4.5,http://www.yelp.com/biz/broadway-joes-pizza-bronx
86,Genericos's Pizzeria and Cafe',3535 Riverdale Ave,Bronx,Cafes,3.5,http://www.yelp.com/biz/genericoss-pizzeria-and-cafe-bronx
87,P & K Grille,170 W 231st St,Bronx,Burgers,4.0,http://www.yelp.com/biz/p-and-k-grille-bronx-2
88,Picante Picante,156 W 231st St,Bronx,Mexican,4.5,http://www.yelp.com/biz/picante-picante-bronx-2
89,Cafe Blue,3509 Johnson Ave,Bronx,Diners,3.5,http://www.yelp.com/biz/cafe-blue-bronx
90,Cumin Indian Restaurant,3549 Johnson Ave,Bronx,Indian,3.5,http://www.yelp.com/biz/cumin-indian-restaurant-bronx-2
91,Metate,3515 Johnson Ave,Bronx,Mexican,3.0,http://www.yelp.com/biz/metate-bronx
92,Santa Fe Grill,6025 Broadway,Bronx,Mexican,3.5,http://www.yelp.com/biz/santa-fe-grill-bronx
93,Gleeson's Sports Bar & Grill,6115 Broadway,Bronx,Sports Bars,4.0,http://www.yelp.com/biz/gleesons-sports-bar-and-grill-bronx
94,El Economico Restaurant,5589 Broadway,Bronx,Latin American,4.0,http://www.yelp.com/biz/el-economico-restaurant-bronx
95,Christos Gyro,3625 Kingsbridge Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/christos-gyro-bronx
96,Palace of Japan,3505 Johnson Ave,Bronx,Japanese,3.5,http://www.yelp.com/biz/palace-of-japan-bronx
97,Dale Restaurant,189 W 231st St,Bronx,Diners,4.0,http://www.yelp.com/biz/dale-restaurant-bronx-2
98,Mr. Nick's Pizza & Pasta,3552 Johnson Ave,New York,Italian,3.0,http://www.yelp.com/biz/mr-nicks-pizza-and-pasta-new-york
99,Madisons Restaurant & Bar,5686 Riverdale Ave,Bronx,Bars,3.5,http://www.yelp.com/biz/madisons-restaurant-and-bar-bronx
100,Greek Express,3733 Riverdale Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/greek-express-bronx
101,Hola Espana,5586 Broadway,New York,Spanish,4.0,http://www.yelp.com/biz/hola-espana-new-york
102,Caridad Restaurant,135 W Kingsbridge Rd,Bronx,Latin American,4.0,http://www.yelp.com/biz/caridad-restaurant-bronx-2
103,Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,Delis,4.5,http://www.yelp.com/biz/loesers-old-fashioned-kosher-deli-bronx
104,P & K Grille,170 W 231st St,Bronx,Burgers,4.0,http://www.yelp.com/biz/p-and-k-grille-bronx-2
105,Picante Picante,156 W 231st St,Bronx,Mexican,4.5,http://www.yelp.com/biz/picante-picante-bronx-2
106,Tino's Delicatessen,2410 Arthur Ave,Bronx,Delis,4.5,http://www.yelp.com/biz/tinos-delicatessen-bronx
107,Mei Mei Restaurant,2833 Grand Concourse,Bronx,Chinese,4.0,http://www.yelp.com/biz/mei-mei-restaurant-bronx
108,Liebman's Kosher Delicatessen,552 W 235th St,Bronx,Delis,4.0,http://www.yelp.com/biz/liebmans-kosher-delicatessen-bronx
109,Grandpa's Brick Oven Pizza,4973 Broadway,New York,Pizza,4.0,http://www.yelp.com/biz/grandpas-brick-oven-pizza-new-york
110,Mike's Deli,2344 Arthur Ave,Bronx,Caterers,4.5,http://www.yelp.com/biz/mikes-deli-bronx
111,Broadway Joe's Pizza,5983 Broadway,Bronx,Pizza,4.5,http://www.yelp.com/biz/broadway-joes-pizza-bronx
112,El Economico Restaurant,5589 Broadway,Bronx,Latin American,4.0,http://www.yelp.com/biz/el-economico-restaurant-bronx
113,Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,Lounges,4.0,http://www.yelp.com/biz/michaelangelos-little-italy-bronx
114,Beans and Vines,4842 Broadway,New York,Coffee & Tea,4.5,http://www.yelp.com/biz/beans-and-vines-new-york
115,Yo-Burger,3726 Riverdale Ave,Bronx,Burgers,4.0,http://www.yelp.com/biz/yo-burger-bronx
116,Genericos's Pizzeria and Cafe',3535 Riverdale Ave,Bronx,Cafes,3.5,http://www.yelp.com/biz/genericoss-pizzeria-and-cafe-bronx
117,Sal's Pizzeria,3167 Bainbridge Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/sals-pizzeria-bronx
118,Dale Restaurant,189 W 231st St,Bronx,Diners,4.0,http://www.yelp.com/biz/dale-restaurant-bronx-2
119,Com Tam Ninh Kieu,2641 Jerome Ave,Bronx,Vietnamese,4.0,http://www.yelp.com/biz/com-tam-ninh-kieu-bronx
120,Hola Espana,5586 Broadway,New York,Spanish,4.0,http://www.yelp.com/biz/hola-espana-new-york
121,Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,Delis,4.5,http://www.yelp.com/biz/loesers-old-fashioned-kosher-deli-bronx
122,P & K Grille,170 W 231st St,Bronx,Burgers,4.0,http://www.yelp.com/biz/p-and-k-grille-bronx-2
123,Picante Picante,156 W 231st St,Bronx,Mexican,4.5,http://www.yelp.com/biz/picante-picante-bronx-2
124,Caridad Restaurant,135 W Kingsbridge Rd,Bronx,Latin American,4.0,http://www.yelp.com/biz/caridad-restaurant-bronx-2
125,Arturo's Pizzeria,5189A Broadway,Bronx,Pizza,3.5,http://www.yelp.com/biz/arturos-pizzeria-bronx
126,Grandpa's Brick Oven Pizza,4973 Broadway,New York,Pizza,4.0,http://www.yelp.com/biz/grandpas-brick-oven-pizza-new-york
127,El Economico Restaurant,5589 Broadway,Bronx,Latin American,4.0,http://www.yelp.com/biz/el-economico-restaurant-bronx
128,Liebman's Kosher Delicatessen,552 W 235th St,Bronx,Delis,4.0,http://www.yelp.com/biz/liebmans-kosher-delicatessen-bronx
129,Dale Restaurant,189 W 231st St,Bronx,Diners,4.0,http://www.yelp.com/biz/dale-restaurant-bronx-2
130,Cold Cut City Gourmet,228 W 231st St,Bronx,Delis,3.5,http://www.yelp.com/biz/cold-cut-city-gourmet-bronx
131,Sam's Pizza,232 W 231st St,Bronx,Pizza,4.5,http://www.yelp.com/biz/sams-pizza-bronx-2
132,Land & Sea Restaurant,5535 Broadway,Bronx,American (New),2.5,http://www.yelp.com/biz/land-and-sea-restaurant-bronx
133,Yummy Thai,4959 Broadway,New York,Thai,3.0,http://www.yelp.com/biz/yummy-thai-new-york
134,La Piñata Mexican Grill,4930 Broadway,New York,Mexican,3.5,http://www.yelp.com/biz/la-pi%C3%B1ata-mexican-grill-new-york
135,El Malecon Restaurant,5592 Broadway,Bronx,Latin American,3.0,http://www.yelp.com/biz/el-malecon-restaurant-bronx
136,Applebee's,76 W 225th St,Bronx,American (Traditional),2.0,http://www.yelp.com/biz/applebees-bronx
137,Amy's Restaurant,586 W 207th St,New York,Chinese,3.5,http://www.yelp.com/biz/amys-restaurant-new-york
138,Christos Gyro,3625 Kingsbridge Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/christos-gyro-bronx
139,Supreme Pizza,318 W 231st St,Bronx,Pizza,4.0,http://www.yelp.com/biz/supreme-pizza-bronx
140,Rambling House,4292 Katonah Ave,Bronx,Pubs,4.0,http://www.yelp.com/biz/rambling-house-bronx
141,Curry Spot,4268 Katonah Ave,Bronx,Indian,4.0,http://www.yelp.com/biz/curry-spot-bronx
142,VIP's Cafe,131 E Gun Hill Rd,Bronx,Sandwiches,3.0,http://www.yelp.com/biz/vips-cafe-bronx-2
143,Patrizia's of Woodlawn,4358 Katonah Ave,Bronx,Italian,3.5,http://www.yelp.com/biz/patrizias-of-woodlawn-bronx
144,Eileens Country Kitchen,964 McLean Ave,Yonkers,American (Traditional),3.5,http://www.yelp.com/biz/eileens-country-kitchen-yonkers
145,Sal's Pizzeria,3167 Bainbridge Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/sals-pizzeria-bronx
146,Tomo Sushi - Grill,642 Mclean Ave,Yonkers,Sushi Bars,4.0,http://www.yelp.com/biz/tomo-sushi-grill-yonkers
147,Broadway Joe's Pizza,5983 Broadway,Bronx,Pizza,4.5,http://www.yelp.com/biz/broadway-joes-pizza-bronx
148,Gleeson's Sports Bar & Grill,6115 Broadway,Bronx,Sports Bars,4.0,http://www.yelp.com/biz/gleesons-sports-bar-and-grill-bronx
149,Santa Fe Grill,6025 Broadway,Bronx,Mexican,3.5,http://www.yelp.com/biz/santa-fe-grill-bronx
150,Ali's Roti Shop,4220 White Plains Rd,Bronx,Trinidadian,4.0,http://www.yelp.com/biz/alis-roti-shop-bronx
151,Katonah Pizza & Pasta,4307 Katonah Ave,Bronx,Pizza,3.5,http://www.yelp.com/biz/katonah-pizza-and-pasta-bronx
152,Avitable Bros,1016 McLean Ave,Yonkers,Delis,4.5,http://www.yelp.com/biz/avitable-bros-yonkers
153,La Grotta Trattoria,811 McLean Ave,Yonkers,Italian,4.5,http://www.yelp.com/biz/la-grotta-trattoria-yonkers
154,Three Boys From Italy,704 Burke Ave,Bronx,Pizza,4.5,http://www.yelp.com/biz/three-boys-from-italy-bronx
155,HIM Ital Health Food Market,4374b White Plains Rd,Bronx,Health Markets,4.5,http://www.yelp.com/biz/him-ital-health-food-market-bronx-2
156,Mario's Pizza,79 E Gun Hill Road,Bronx,Pizza,3.5,http://www.yelp.com/biz/marios-pizza-bronx
157,Feroza's Restaurant Roti,716 Burke Ave,Bronx,Indian,4.0,http://www.yelp.com/biz/ferozas-restaurant-roti-bronx
158,Barbecue Pit,5788 Mosholu Ave,Bronx,Barbeque,3.5,http://www.yelp.com/biz/barbecue-pit-bronx
159,Wok Wok Chinese Restaurant,3412 Jerome Ave,Bronx,Chinese,3.0,http://www.yelp.com/biz/wok-wok-chinese-restaurant-bronx
160,Tino's Delicatessen,2410 Arthur Ave,Bronx,Delis,4.5,http://www.yelp.com/biz/tinos-delicatessen-bronx
161,Hola Espana,5586 Broadway,New York,Spanish,4.0,http://www.yelp.com/biz/hola-espana-new-york
162,Greek Express,3733 Riverdale Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/greek-express-bronx
163,Caridad Restaurant,135 W Kingsbridge Rd,Bronx,Latin American,4.0,http://www.yelp.com/biz/caridad-restaurant-bronx-2
164,Mei Mei Restaurant,2833 Grand Concourse,Bronx,Chinese,4.0,http://www.yelp.com/biz/mei-mei-restaurant-bronx
165,P & K Grille,170 W 231st St,Bronx,Burgers,4.0,http://www.yelp.com/biz/p-and-k-grille-bronx-2
166,Mike's Deli,2344 Arthur Ave,Bronx,Caterers,4.5,http://www.yelp.com/biz/mikes-deli-bronx
167,Sal's Pizzeria,3167 Bainbridge Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/sals-pizzeria-bronx
168,Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,Lounges,4.0,http://www.yelp.com/biz/michaelangelos-little-italy-bronx
169,Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,Delis,4.5,http://www.yelp.com/biz/loesers-old-fashioned-kosher-deli-bronx
170,Picante Picante,156 W 231st St,Bronx,Mexican,4.5,http://www.yelp.com/biz/picante-picante-bronx-2
171,Arthur Avenue Cafe,2329 Arthur Ave,Bronx,Coffee & Tea,4.0,http://www.yelp.com/biz/arthur-avenue-cafe-bronx
172,Broadway Joe's Pizza,5983 Broadway,Bronx,Pizza,4.5,http://www.yelp.com/biz/broadway-joes-pizza-bronx
173,VIP's Cafe,131 E Gun Hill Rd,Bronx,Sandwiches,3.0,http://www.yelp.com/biz/vips-cafe-bronx-2
174,Rambling House,4292 Katonah Ave,Bronx,Pubs,4.0,http://www.yelp.com/biz/rambling-house-bronx
175,Com Tam Ninh Kieu,2641 Jerome Ave,Bronx,Vietnamese,4.0,http://www.yelp.com/biz/com-tam-ninh-kieu-bronx
176,Curry Spot,4268 Katonah Ave,Bronx,Indian,4.0,http://www.yelp.com/biz/curry-spot-bronx
177,Liebman's Kosher Delicatessen,552 W 235th St,Bronx,Delis,4.0,http://www.yelp.com/biz/liebmans-kosher-delicatessen-bronx
178,El Economico Restaurant,5589 Broadway,Bronx,Latin American,4.0,http://www.yelp.com/biz/el-economico-restaurant-bronx
179,Parrilla Latina Restaurant,2501 Webster Ave,Bronx,Latin American,3.0,http://www.yelp.com/biz/parrilla-latina-restaurant-bronx
180,Rambling House,4292 Katonah Ave,Bronx,Pubs,4.0,http://www.yelp.com/biz/rambling-house-bronx
181,Curry Spot,4268 Katonah Ave,Bronx,Indian,4.0,http://www.yelp.com/biz/curry-spot-bronx
182,Sal's Pizzeria,3167 Bainbridge Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/sals-pizzeria-bronx
183,Tino's Delicatessen,2410 Arthur Ave,Bronx,Delis,4.5,http://www.yelp.com/biz/tinos-delicatessen-bronx
184,Sorrento Pizzeria,2004 Williamsbridge Rd,Bronx,Pizza,4.5,http://www.yelp.com/biz/sorrento-pizzeria-bronx
185,Three Boys From Italy,704 Burke Ave,Bronx,Pizza,4.5,http://www.yelp.com/biz/three-boys-from-italy-bronx
186,Eileens Country Kitchen,964 McLean Ave,Yonkers,American (Traditional),3.5,http://www.yelp.com/biz/eileens-country-kitchen-yonkers
187,VIP's Cafe,131 E Gun Hill Rd,Bronx,Sandwiches,3.0,http://www.yelp.com/biz/vips-cafe-bronx-2
188,Good To Go,1894 Eastchester Rd,Bronx,American (Traditional),3.5,http://www.yelp.com/biz/good-to-go-bronx
189,John & Joe's Pizzeria,749 Lydig Ave,Bronx,Pizza,4.5,http://www.yelp.com/biz/john-and-joes-pizzeria-bronx
190,Mei Mei Restaurant,2833 Grand Concourse,Bronx,Chinese,4.0,http://www.yelp.com/biz/mei-mei-restaurant-bronx
191,Venezia Pizzeria,1115 Astor Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/venezia-pizzeria-bronx
192,Patrizia's of Woodlawn,4358 Katonah Ave,Bronx,Italian,3.5,http://www.yelp.com/biz/patrizias-of-woodlawn-bronx
193,Green Light Cuisine,737 Lydig Ave,Bronx,Vegetarian,3.5,http://www.yelp.com/biz/green-light-cuisine-bronx
194,Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,Lounges,4.0,http://www.yelp.com/biz/michaelangelos-little-italy-bronx
195,Feroza's Restaurant Roti,716 Burke Ave,Bronx,Indian,4.0,http://www.yelp.com/biz/ferozas-restaurant-roti-bronx
196,TGI Fridays,51780 E Gun Hill Rd,Bronx,American (Traditional),2.5,http://www.yelp.com/biz/tgi-fridays-bronx
197,Emilio's Pizza,1051 Morris Park Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/emilios-pizza-bronx-2
198,Tomo Sushi - Grill,642 Mclean Ave,Yonkers,Sushi Bars,4.0,http://www.yelp.com/biz/tomo-sushi-grill-yonkers
199,Caridad and Louie's Restaurant,1660 E Gun Hill Rd,Bronx,Italian,3.5,http://www.yelp.com/biz/caridad-and-louies-restaurant-bronx
200,Caridad and Louie's Restaurant,1660 E Gun Hill Rd,Bronx,Italian,3.5,http://www.yelp.com/biz/caridad-and-louies-restaurant-bronx
201,Panera Bread,340 Baychester Ave,Bronx,Sandwiches,3.5,http://www.yelp.com/biz/panera-bread-bronx
202,TGI Fridays,51780 E Gun Hill Rd,Bronx,American (Traditional),2.5,http://www.yelp.com/biz/tgi-fridays-bronx
203,Dallas BBQ,2160 Bartow Ave,Bronx,Barbeque,2.5,http://www.yelp.com/biz/dallas-bbq-bronx-2
204,Good To Go,1894 Eastchester Rd,Bronx,American (Traditional),3.5,http://www.yelp.com/biz/good-to-go-bronx
205,Pelham Bay Diner,1920 E Gun Hill Rd,Bronx,Diners,2.5,http://www.yelp.com/biz/pelham-bay-diner-bronx
206,Vegans Delight,3565 Boston Rd,New York,Vegan,4.0,http://www.yelp.com/biz/vegans-delight-new-york
207,Richie Rich Carribean,3357 Fish Ave,Bronx,Ethnic Food,3.5,http://www.yelp.com/biz/richie-rich-carribean-bronx
208,Venezia Pizzeria,1115 Astor Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/venezia-pizzeria-bronx
209,Sorrento Pizzeria,2004 Williamsbridge Rd,Bronx,Pizza,4.5,http://www.yelp.com/biz/sorrento-pizzeria-bronx
210,Nick's Pizza Restaurant,1356 E Gun Hill Rd,Bronx,Pizza,3.0,http://www.yelp.com/biz/nicks-pizza-restaurant-bronx
211,Dragon City,2102 Bartow Ave,Bronx,Chinese,3.0,http://www.yelp.com/biz/dragon-city-bronx
212,Red Lobster,2090 Bartow Avenue,Bronx,Seafood,2.5,http://www.yelp.com/biz/red-lobster-bronx
213,The Dumplin Shop,1530 E 222st,Bronx,Cafes,5.0,http://www.yelp.com/biz/the-dumplin-shop-bronx-2
214,Checkers,344 Baychester Ave,Bronx,American (Traditional),3.0,http://www.yelp.com/biz/checkers-bronx
215,Rich Restaurant,2485 Eastchester Rd,Bronx,Chinese,4.0,http://www.yelp.com/biz/rich-restaurant-bronx
216,Applebees,2276 Bartow Ave,Bronx,Bars,2.0,http://www.yelp.com/biz/applebees-bronx-4
217,Battaglia's Market,2503 Eastchester Rd,Bronx,Meat Shops,4.5,http://www.yelp.com/biz/battaglias-market-bronx
