,name,address,city,category,rating,url
1613,Brennan & Carr,3432 Nostrand Ave,Brooklyn,Sandwiches,4.0,http://www.yelp.com/biz/brennan-and-carr-brooklyn-2
1614,Opera Cafe & Lounge NYC,2255 Emmons Ave,Brooklyn,Turkish,4.0,http://www.yelp.com/biz/opera-cafe-and-lounge-nyc-brooklyn
1615,Jordan's Lobster Dock,3165 Harkness Ave,Brooklyn,Seafood Markets,3.5,http://www.yelp.com/biz/jordans-lobster-dock-brooklyn
1616,TGI Fridays,3181 Harkness Ave,Brooklyn,American (Traditional),3.0,http://www.yelp.com/biz/tgi-fridays-brooklyn
1617,Sakura,3118 Avenue U,Brooklyn,Sushi Bars,4.0,http://www.yelp.com/biz/sakura-brooklyn-3
1618,Perry's Restaurant,3482 Nostrand Ave,Brooklyn,Seafood,3.5,http://www.yelp.com/biz/perrys-restaurant-brooklyn
1619,Randazzo's Clam Bar,2017 Emmons Ave,Brooklyn,Seafood,3.5,http://www.yelp.com/biz/randazzos-clam-bar-brooklyn
1620,Jay & Lloyd's Kosher Deli & Family Restaurant,2718 Avenue U,Brooklyn,Delis,4.0,http://www.yelp.com/biz/jay-and-lloyds-kosher-deli-and-family-restaurant-brooklyn
1621,Vanka Cafe,3810 Nostrand Ave,Brooklyn,Russian,3.5,http://www.yelp.com/biz/vanka-cafe-brooklyn
1622,Connie's Pizzeria,3845 Nostrand Avenue,Brooklyn,Pizza,3.5,http://www.yelp.com/biz/connies-pizzeria-brooklyn
1623,Jimmy's Famous Heros,1786 Sheepshead Bay Rd,Brooklyn,Delis,4.5,http://www.yelp.com/biz/jimmys-famous-heros-brooklyn-2
1624,Hayashi,2901 Ocean Ave,Brooklyn,Japanese,4.0,http://www.yelp.com/biz/hayashi-brooklyn
1625,Aziza 7,2113 Ave Z,Brooklyn,Russian,3.5,http://www.yelp.com/biz/aziza-7-brooklyn
1626,Panera Bread,5158 King's Plaza,Brooklyn,Sandwiches,4.0,http://www.yelp.com/biz/panera-bread-brooklyn
1627,Tokyo Boy,3788 Nostrand Avenue,Brooklyn,Japanese,3.5,http://www.yelp.com/biz/tokyo-boy-brooklyn
1628,Cafe Rokhat,1788 Sheepshead Bay Rd,Brooklyn,Russian,4.5,http://www.yelp.com/biz/cafe-rokhat-brooklyn
1629,Pronto Pizzeria & Ristorante,2928 Ave R,Brooklyn,Pizza,3.5,http://www.yelp.com/biz/pronto-pizzeria-and-ristorante-brooklyn
1630,Osaka Japanese Restaurant,2805 Ave U,Brooklyn,Japanese,3.5,http://www.yelp.com/biz/osaka-japanese-restaurant-brooklyn-2
1631,Ashoka Indian Grill,1436 Flatbush Ave,Brooklyn,Indian,4.5,http://www.yelp.com/biz/ashoka-indian-grill-brooklyn
1632,International Paradise Restaurant,2905 Glenwood Rd,Brooklyn,Caribbean,4.5,http://www.yelp.com/biz/international-paradise-restaurant-brooklyn
1633,Brennan & Carr,3432 Nostrand Ave,Brooklyn,Sandwiches,4.0,http://www.yelp.com/biz/brennan-and-carr-brooklyn-2
1634,Roll-N-Roaster,2901 Emmons Ave,Brooklyn,American (Traditional),4.0,http://www.yelp.com/biz/roll-n-roaster-brooklyn
1635,Di Fara Pizza,1424 Ave J,Brooklyn,Pizza,4.0,http://www.yelp.com/biz/di-fara-pizza-brooklyn
1636,Mimi's Hummus,1209 Cortelyou Rd,Brooklyn,Mediterranean,4.5,http://www.yelp.com/biz/mimis-hummus-brooklyn
1637,Mish Mash Gourmet,1103 Kings Hwy,Brooklyn,American (New),3.0,http://www.yelp.com/biz/mish-mash-gourmet-brooklyn
1638,Mill Basin Kosher Delicatessen,5823 Ave T,Brooklyn,Delis,4.0,http://www.yelp.com/biz/mill-basin-kosher-delicatessen-brooklyn
1639,Bassett Caterers,1404 Ave X,Brooklyn,Caterers,4.5,http://www.yelp.com/biz/bassett-caterers-brooklyn
1640,Memo Shishkebob,1821 Kings Hwy,Brooklyn,Middle Eastern,4.0,http://www.yelp.com/biz/memo-shishkebob-brooklyn
1641,E Sushi,2118 Flatbush Ave,Brooklyn,Sushi Bars,4.0,http://www.yelp.com/biz/e-sushi-brooklyn
1642,Chayhana Salom,1652 Sheepshead Bay Rd,Brooklyn,Uzbek,4.5,http://www.yelp.com/biz/chayhana-salom-brooklyn
1643,Chikurin,1777 Ocean Ave,Brooklyn,Japanese,3.5,http://www.yelp.com/biz/chikurin-brooklyn
1644,Tenda Asian Fusion,1734 Sheepshead Bay Rd,Brooklyn,Asian Fusion,4.0,http://www.yelp.com/biz/tenda-asian-fusion-brooklyn
1645,Opera Cafe & Lounge NYC,2255 Emmons Ave,Brooklyn,Turkish,4.0,http://www.yelp.com/biz/opera-cafe-and-lounge-nyc-brooklyn
1646,Salud,1308 Ave H,Brooklyn,Sandwiches,4.0,http://www.yelp.com/biz/salud-brooklyn
1647,Pho Vietnam,1243 Ave U,Brooklyn,Vietnamese,4.0,http://www.yelp.com/biz/pho-vietnam-brooklyn
1648,Joe's of Avenue U Italian Cuisine,287 Avenue U,Brooklyn,Italian,4.0,http://www.yelp.com/biz/joes-of-avenue-u-italian-cuisine-brooklyn
1649,Coney Island Taste,2580 Coney Island Ave,Brooklyn,Latin American,4.5,http://www.yelp.com/biz/coney-island-taste-brooklyn
1650,Pho Hoai Restaurant,1906 Ave U,Brooklyn,Vietnamese,3.5,http://www.yelp.com/biz/pho-hoai-restaurant-brooklyn
1651,Govinda's Vegetarian,305 Schermerhorn St,Brooklyn,Vegetarian,4.5,http://www.yelp.com/biz/govindas-vegetarian-brooklyn
